user,user2int,lec,#run,#action,err_incomplete,err_without_ct,err_etc
VRUZDTkA,14080,409,1,17,0,0,0
x3Sqjzum,14081,409,3,14,1,1,0
O6iuBExn,14082,409,5,20,1,0,3
BbHT4WRa,14083,409,8,24,0,0,7
q0mGwfCT,14084,409,1,6,0,0,0
SwXKJd0j,14085,409,1,9,0,0,0
1oCXXo7F,14086,409,5,14,3,1,0
ig9Q90mG,14087,409,1,6,0,0,0
0vhdG0Jv,14088,409,3,14,0,0,2
LFTWfYt6,14089,409,3,9,0,0,2
hOTZuDzl,14090,409,2,17,0,0,1
AFfKaFY7,14091,409,1,8,0,0,0
xHJBAslG,14092,409,1,15,0,0,0
6U8cev48,14093,409,36,79,3,0,31
byGfwLF0,14094,409,1,6,0,0,0
VLQc3f4j,14095,409,1,7,0,0,0
vo4mv1qM,14096,409,1,6,0,0,0
eUFRbYSD,14097,409,5,20,0,0,4
6Nc8rfKV,14098,409,5,17,0,0,4
wNNQ0zHS,14099,409,1,6,0,0,0
m1Xr9SWT,14100,409,10,24,8,0,0
7HyImvqB,14101,409,1,6,0,0,0
hzE6ABFa,14102,409,14,19,10,3,0
hVVJpsMK,14103,409,1,7,0,0,0
QJ6NeRGB,14104,409,3,19,0,0,2
HLMuc22D,14105,409,12,67,1,1,9
E2NSp5tX,14106,409,1,7,0,0,0
vpb3rxJG,14107,409,2,17,0,0,1
Nyd4qk7d,14108,409,1,6,0,0,0
yMGxejpT,14109,409,2,6,0,0,1
YwMi2mc4,14110,409,10,30,2,5,0
4dYaIEFi,14111,409,2,7,1,0,0
Swx54fDP,14112,409,1,6,0,0,0
iIIemk8A,14113,409,4,28,0,0,3
pphN4Hol,14114,409,1,11,0,0,0
hxwskTQG,14115,409,1,6,0,0,0
BXgQZ9Lo,14116,409,1,7,0,0,0
YPWDTOFF,14117,409,7,45,0,0,6
nMX9a7nP,14118,409,1,6,0,0,0
uLBRkXCg,14119,409,5,21,1,1,2
cbo02gcU,14120,409,40,78,0,0,39
2A96yYJL,14121,409,1,6,0,0,0
4GBwHKdH,14122,409,15,41,0,0,14
d8D9Zcur,14123,409,1,8,0,0,0
3RWrm6yM,14124,409,7,33,0,0,6
nxpG5sTj,14125,409,1,6,0,0,0
BWhTJnpc,14126,409,20,78,1,1,17
1nUlJbE3,14127,409,2,8,0,0,1
B8XCFlve,14128,409,12,39,5,0,5
C7a6XuLL,14129,409,1,18,0,0,0
BBGzOHsa,14130,409,1,7,0,0,0
K8F5vZj3,14131,409,1,7,0,0,0
Zr8oEsYC,14132,409,2,7,0,0,1
m9EBmUhV,14133,409,1,6,0,0,0
IsWoU8VU,14134,409,1,12,0,0,0
coWNZZGN,14135,409,12,58,0,1,10
Di4YcMi4,14136,409,10,36,5,1,3
2i8yUsDc,14137,409,2,8,0,0,1
gmCJGA90,14138,409,2,6,1,0,0
t3F5rhs5,14139,409,1,7,0,0,0
DMtpwVrK,14140,409,5,21,0,0,4
